Frame,pointx,pointy,X,Y
80,789,142,-85.73592999689251,-311.64482501301035
81,805,177,-160.82522493117446,-268.77903599278955
82,803,188,-181.86480586031396,-249.41406620163391
83,798,205,-213.57933404598765,-218.06534059260218
84,782,219,-235.75919715900778,-182.20506567171577
85,751,236,-258.9316075018484,-129.5693786048173
86,722,242,-261.3985880968652,-96.03811506667057
87,706,244,-260.30423969632926,-79.64748580072688
88,670,251,-263.1058732268593,-39.541357229192755
88,638,253,-258.4249228013797,-9.950675530138223
