pointx,pointy,valuex,valuey
848.0,222.0,-257.5,-233.4
723.0,157.0,-87.5,-233.4
685.0,253.0,-257.5,-58.4
568.0,183.0,-87.5,-58.4
381.0,63.0,257.5,-58.4
512.0,268.0,-257.5,116.6
395.0,188.0,-87.5,116.6
301.0,123.0,87.5,116.6
223.0,66.0,257.5,116.6
1144.0,251.00000000000003,-427.5,-408.4
973.0,287.0,-427.5,-233.4
802.0,323.0,-427.5,-58.4
629.0,348.0,-427.5,116.6
456.0,373.0,-427.5,291.6
1011.0,191.00000000000003,-257.5,-408.4
339.0,283.0,-257.5,291.6
878.0000000000001,131.00000000000003,-87.5,-408.4
222.0,193.0,-87.5,291.6
128.85507246376824,123.86956521739133,87.5,291.6
65.0,69.0,257.5,291.6
144.99999999999994,8.999999999999986,427.5,116.6
1.144927536231762,14.130434782608688,427.5,291.6
