pointx,pointy,valuex,valuey
143.0,145.0,-257.5,-233.4
225.0,192.0,-87.5,-233.4
317.0,241.0,87.5,-233.4
433.0,303.0,257.5,-233.4
308.0,105.0,-257.5,-58.4
500.0,197.0,87.5,-58.4
621.0,242.0,257.5,-58.4
786.0,184.0,257.5,116.6
658.0,137.0,87.5,116.6
548.0,99.0,-87.5,116.6
471.0,62.0,-257.5,116.6
395.4983857098256,149.5463685529773,-87.5,-58.4
-98.50161429017436,135.54636855297727,-427.5,-408.4
61.0,98.0,-427.5,-233.4
220.5016142901744,60.4536314470227,-427.5,-58.4
394.0,25.0,-427.5,116.6
567.4983857098255,-10.4536314470227,-427.5,291.6
-21.999999999999943,185.0,-257.5,-408.4
634.0,19.0,-257.5,291.6
54.50161429017447,234.4536314470228,-87.5,-408.4
700.5016142901744,48.4536314470227,-87.5,291.6
134.00000000000006,285.0,87.5,-408.4
816.0,77.0,87.5,291.6
245.0000000000001,364.0,257.5,-408.4
951.0,126.0,257.5,291.6
356.0000000000002,443.00000000000006,427.5,-408.4
549.0,365.0,427.5,-233.4
742.0,287.0,427.5,-58.4
914.0,231.0,427.5,116.6
1086.0,175.0,427.5,291.6
