pointx,pointy,valuex,valuey
142.0,145.0,-257.5,-233.4
222.0,187.0,-87.5,-233.4
313.0,237.0,87.5,-233.4
431.0,304.0,257.5,-233.4
620.0,238.0,257.5,-58.4
496.0,189.0,87.5,-58.4
301.0,102.0,-257.5,-58.4
784.0,185.0,257.5,116.6
657.0,134.0,87.5,116.6
546.0,96.0,-87.5,116.6
-80.91304347826082,146.86956521739128,-427.5,-408.4
62.0,103.0,-427.5,-233.4
204.91304347826087,59.13043478260869,-427.5,-58.4
-16.999999999999943,188.0,-257.5,-408.4
46.91304347826093,229.13043478260872,-87.5,-408.4
397.0869565217391,144.8695652173913,-87.5,-58.4
130.00000000000006,285.0,87.5,-408.4
818.0,79.0,87.5,291.6
242.0000000000001,370.0,257.5,-408.4
948.0,132.0,257.5,291.6
354.0000000000002,455.00000000000006,427.5,-408.4
549.0,371.0,427.5,-233.4
744.0,287.0,427.5,-58.4
911.0,236.0,427.5,116.6
1078.0,185.0,427.5,291.6
