pointx,pointy,valuex,valuey
141.0,148.0,-257.5,-233.4
224.0,194.0,-87.5,-233.4
316.0,245.0,87.5,-233.4
431.0,306.0,257.5,-233.4
304.0,112.0,-257.5,-58.4
499.0,203.0,87.5,-58.4
618.0,253.0,257.5,-58.4
785.0,187.0,257.5,116.6
656.0,141.0,87.5,116.6
547.0,102.0,-87.5,116.6
393.7778985828866,154.33975189326924,-87.5,-58.4
-98.22210141711332,134.3397518932692,-427.5,-408.4
58.0,102.0,-427.5,-233.4
214.22210141711335,69.66024810673076,-427.5,-58.4
-21.999999999999943,184.0,-257.5,-408.4
54.22210141711344,233.6602481067308,-87.5,-408.4
133.00000000000006,287.0,87.5,-408.4
813.0,79.0,87.5,291.6
244.0000000000001,359.0,257.5,-408.4
952.0,121.0,257.5,291.6
355.0000000000002,431.00000000000006,427.5,-408.4
546.0,367.0,427.5,-233.4
737.0,303.0,427.5,-58.4
914.0,233.0,427.5,116.6
1091.0,163.0,427.5,291.6
