Frame,pointx,pointy,X,Y
70,470,311,288.07758255316065,-218.91268026194166
71,407,311,255.76754750714565,-257.453364451369
72,345,320,238.1706131123051,-304.0284381772944
73,299,308,199.1305954242611,-321.1730435207612
74,261,299,159.44780521787382,-335.2707708965907
75,205,283,104.7641231742164,-358.4790692766693
76,160,259,36.33661375386572,-364.114195502353
77,147,235,-27.618725369343473,-344.3503452590279
78,142,219,-69.82511405564743,-328.29923499015365
79,138,199,-122.47759161596703,-306.2793704408017
80,132,191,-146.31050550881108,-300.53522890782335
82,158,160,-209.97297980734436,-241.64305497068028
