pointx,pointy,valuex,valuey
140.0,149.0,-257.5,-233.4
224.0,193.0,-87.5,-233.4
316.0,246.0,87.5,-233.4
431.0,308.0,257.5,-233.4
620.0,253.0,257.5,-58.4
500.0,203.0,87.5,-58.4
307.0,113.0,-257.5,-58.4
782.0,187.0,257.5,116.6
656.0,141.0,87.5,116.6
549.0,100.0,-87.5,116.6
-99.89855072463764,141.3478260869565,-427.5,-408.4
56.0,105.0,-427.5,-233.4
211.8985507246377,68.65217391304347,-427.5,-58.4
-26.999999999999943,185.0,-257.5,-408.4
45.898550724637744,228.6521739130435,-87.5,-408.4
402.1014492753623,157.34782608695653,-87.5,-58.4
132.00000000000006,289.0,87.5,-408.4
812.0,79.0,87.5,291.6
242.0000000000001,363.0,257.5,-408.4
944.0,121.0,257.5,291.6
352.0000000000002,437.00000000000006,427.5,-408.4
546.0,370.0,427.5,-233.4
740.0,303.0,427.5,-58.4
908.0,233.0,427.5,116.6
1076.0,163.0,427.5,291.6
