pointx,pointy,valuex,valuey
848.0,219.0,-257.5,-233.4
722.0,154.0,-87.5,-233.4
687.0,248.0,-257.5,-58.4
567.0,181.0,-87.5,-58.4
380.0,59.0,257.5,-58.4
513.0,268.0,-257.5,116.6
395.0,186.0,-87.5,116.6
302.0,120.0,87.5,116.6
222.0,65.0,257.5,116.6
1141.0,253.00000000000003,-427.5,-408.4
974.0,284.0,-427.5,-233.4
807.0,315.0,-427.5,-58.4
631.0,350.0,-427.5,116.6
455.0,385.0,-427.5,291.6
1009.0,190.00000000000003,-257.5,-408.4
339.0,288.0,-257.5,291.6
877.0000000000001,127.00000000000004,-87.5,-408.4
223.0,191.0,-87.5,291.6
131.85507246376818,120.88405797101451,87.5,291.6
64.0,71.0,257.5,291.6
141.99999999999994,9.999999999999986,427.5,116.6
-3.855072463768238,21.1159420289855,427.5,291.6
464.72188021387007,115.62126200365998,87.5,-58.4
