pointx,pointy,valuex,valuey
222.0,64.0,-257.5,-233.4
299.0,116.0,-87.5,-233.4
395.0,181.0,87.5,-233.4
512.0,265.0,257.5,-233.4
380.0,52.0,-257.5,-58.4
568.0,170.0,87.5,-58.4
688.0,240.0,257.5,-58.4
848.0,218.0,257.5,116.6
724.0,149.0,87.5,116.6
2.6376811594203677,30.14492753623186,-427.5,-408.4
145.0,12.0,-427.5,-233.4
287.3623188405797,-6.144927536231876,-427.5,-58.4
64.00000000000006,76.0,-257.5,-408.4
125.36231884057976,121.85507246376814,-87.5,-408.4
472.6376811594203,110.14492753623188,-87.5,-58.4
222.0000000000001,192.00000000000003,87.5,-408.4
336.0000000000001,290.0,257.5,-408.4
1008.0,196.0,257.5,291.6
450.0000000000002,388.00000000000006,427.5,-408.4
629.0,349.0,427.5,-233.4
808.0,310.0,427.5,-58.4
972.0,287.0,427.5,116.6
1136.0,264.0,427.5,291.6
