pointx,pointy,valuex,valuey
142.0,143.0,-257.5,-233.4
224.0,186.0,-87.5,-233.4
315.0,236.0,87.5,-233.4
433.0,302.0,257.5,-233.4
620.0,238.0,257.5,-58.4
500.0,187.0,87.5,-58.4
302.0,101.0,-257.5,-58.4
789.0,186.0,257.5,116.6
659.0,133.0,87.5,116.6
546.0,94.0,-87.5,116.6
-84.43478260869557,141.37681159420285,-427.5,-408.4
60.0,100.0,-427.5,-233.4
204.43478260869563,58.62318840579712,-427.5,-58.4
-17.999999999999943,185.0,-257.5,-408.4
48.43478260869568,228.62318840579715,-87.5,-408.4
399.5652173913044,143.37681159420288,-87.5,-58.4
130.00000000000006,285.0,87.5,-408.4
818.0,79.0,87.5,291.6
246.0000000000001,366.0,257.5,-408.4
958.0,134.0,257.5,291.6
362.0000000000002,447.00000000000006,427.5,-408.4
551.0,368.0,427.5,-233.4
740.0,289.0,427.5,-58.4
919.0,239.0,427.5,116.6
1098.0,189.0,427.5,291.6
