pointx,pointy,valuex,valuey
847.0,222.0,-257.5,-233.4
723.0,157.0,-87.5,-233.4
684.0,251.0,-257.5,-58.4
565.0,183.0,-87.5,-58.4
380.0,63.0,257.5,-58.4
512.0,269.0,-257.5,116.6
395.0,188.0,-87.5,116.6
301.0,122.0,87.5,116.6
221.0,65.0,257.5,116.6
1139.0,255.00000000000003,-427.5,-408.4
971.0,287.0,-427.5,-233.4
803.0,319.0,-427.5,-58.4
629.0,350.0,-427.5,116.6
455.0,381.0,-427.5,291.6
1010.0000000000001,193.00000000000003,-257.5,-408.4
340.0,287.0,-257.5,291.6
881.0000000000001,131.00000000000003,-87.5,-408.4
225.0,193.0,-87.5,291.6
130.840579710145,121.86956521739133,87.5,291.6
62.0,67.0,257.5,291.6
140.99999999999994,7.999999999999986,427.5,116.6
-6.840579710144993,12.130434782608688,427.5,291.6
