pointx,pointy,valuex,valuey
141.0,146.0,-257.5,-233.4
224.0,191.0,-87.5,-233.4
316.0,243.0,87.5,-233.4
434.0,305.0,257.5,-233.4
304.0,108.0,-257.5,-58.4
498.0,200.0,87.5,-58.4
620.0,247.0,257.5,-58.4
785.0,187.0,257.5,116.6
655.0,139.0,87.5,116.6
547.0,99.0,-87.5,116.6
-92.4057971014492,139.33333333333331,-427.5,-408.4
58.0,101.0,-427.5,-233.4
208.40579710144925,62.66666666666666,-427.5,-58.4
-21.999999999999943,184.0,-257.5,-408.4
48.40579710144931,228.66666666666669,-87.5,-408.4
399.5942028985508,153.33333333333334,-87.5,-58.4
134.00000000000006,286.0,87.5,-408.4
812.0,78.0,87.5,291.6
248.0000000000001,363.0,257.5,-408.4
950.0,127.0,257.5,291.6
362.0000000000002,440.00000000000006,427.5,-408.4
552.0,367.0,427.5,-233.4
742.0,294.0,427.5,-58.4
915.0,235.0,427.5,116.6
1088.0,176.0,427.5,291.6
