pointx,pointy,valuex,valuey
978.0,325.0,0.0,0.0
824.0,311.0,175.0,0.0
691.0,301.0,350.0,0.0
569.0,289.0,525.0,0.0
459.0,279.0,700.0,0.0
877.0,412.0,0.0,175.0
721.0,393.0,175.0,175.0
355.0,341.0,700.0,175.0
763.0,486.0,0.0,350.0
601.0,465.0,175.0,350.0
461.0,444.0,350.0,350.0
340.0,420.0,525.0,350.0
231.0,399.0,700.0,350.0
620.0,571.0,0.0,525.0
456.0,532.0,175.0,525.0
326.0,506.0,350.0,525.0
197.0,475.0,525.0,525.0
95.0,454.0,700.0,525.0
461.0311099009306,356.0677161350351,525.0,175.0
582.5664757693612,374.06304305338335,350.0,175.0
1231.0,247.0,-175.0,-175.0
1132.0,339.0,-175.0,0.0
1033.0,431.0,-175.0,175.0
925.0,507.0,-175.0,350.0
784.0,610.0,-175.0,525.0
643.0,713.0,-175.0,700.0
1079.0,238.0,0.0,-175.0
477.0,656.0,0.0,700.0
927.0,229.0,175.0,-175.0
311.0,599.0,175.0,700.0
799.4335242306388,227.93695694661665,350.0,-175.0
191.0,568.0,350.0,700.0
676.9688900990694,221.93228386496492,525.0,-175.0
54.0,530.0,525.0,700.0
563.0,217.0,700.0,-175.0
-41.0,509.0,700.0,700.0
449.03110990093046,212.06771613503508,875.0,-175.0
349.0,269.0,875.0,0.0
248.96889009906943,325.9322838649649,875.0,175.0
122.0,378.0,875.0,350.0
-7.0,433.0,875.0,525.0
-136.0,488.0,875.0,700.0
