Frame,pointx,pointy,X,Y
75,866,521,-139.1869537413235,386.44473124663455
76,777,530,-71.3398414314564,418.5391507939296
77,698,543,-23.074671930501076,459.74442664694214
78,636,549,17.259878412706346,486.5214557486925
79,571,542,75.17349642999288,497.3058053189346
80,491,543,129.69391513786667,530.2107631409755
81,428,542,180.27666174310494,553.570675022942
82,365,544,234.36457487268413,580.3885344026304
83,290,540,312.0452737040682,604.0365614486831
84,243,530,373.64972217499366,606.7869236834298
