pointx,pointy,valuex,valuey
194.0,361.0,0.0,0.0
290.0,383.0,175.0,0.0
391.0,409.0,350.0,0.0
639.0,462.0,700.0,0.0
731.0,423.0,700.0,175.0
813.0,380.0,700.0,350.0
885.0,337.0,700.0,525.0
769.0,317.0,525.0,525.0
692.0,362.0,525.0,350.0
659.0,303.0,350.0,525.0
562.0,283.0,175.0,525.0
469.0,270.0,0.0,525.0
387.0,303.0,0.0,350.0
391.0,359.0,175.0,175.0
295.0,336.0,0.0,175.0
509.36888093082433,434.8324396225543,525.0,0.0
604.0394838031067,399.77610572849534,525.0,175.0
479.94414373643656,323.4447737291273,175.0,350.0
581.1093633508333,343.3601170452124,350.0,350.0
492.0757823580946,379.3527298063804,350.0,175.0
-3.0,365.0,-175.0,-175.0
98.0,339.0,-175.0,0.0
199.0,313.0,-175.0,175.0
294.05585626356344,282.5552262708727,-175.0,350.0
376.0,257.0,-175.0,525.0
457.9441437364367,231.4447737291273,-175.0,700.0
93.0,386.0,0.0,-175.0
551.0,237.0,0.0,700.0
189.0,407.0,175.0,-175.0
644.0558562635634,242.5552262708727,175.0,700.0
289.9242176419054,438.6472701936196,350.0,-175.0
736.8906366491667,262.6398829547876,350.0,700.0
414.698278058542,469.8887735166133,525.0,-175.0
846.0,272.0,525.0,700.0
547.0,501.0,700.0,-175.0
957.0,294.0,700.0,700.0
679.3017219414578,532.1112264833866,875.0,-175.0
768.6311190691756,489.1675603774457,875.0,0.0
857.9605161968933,446.2238942715047,875.0,175.0
934.0,398.0,875.0,350.0
1001.0,357.0,875.0,525.0
1068.0,316.0,875.0,700.0
