pointx,pointy,valuex,valuey
194.0,361.0,0.0,0.0
289.0,382.0,175.0,0.0
393.0,407.0,350.0,0.0
637.0,462.0,700.0,0.0
295.0,328.0,0.0,175.0
392.0,353.0,175.0,175.0
487.0,377.0,350.0,175.0
608.0,396.0,525.0,175.0
733.0,416.0,700.0,175.0
814.0,374.0,700.0,350.0
694.0,357.0,525.0,350.0
389.0,298.0,0.0,350.0
472.0,270.0,0.0,525.0
563.0,284.0,175.0,525.0
665.0,302.0,350.0,525.0
771.0,316.0,525.0,525.0
888.0,337.0,700.0,525.0
511.8078011657172,434.2987264950841,525.0,0.0
481.29174768080463,319.874085426123,175.0,350.0
582.0502897161002,339.86033820053296,350.0,350.0
0.0,377.0,-175.0,-175.0
99.0,340.0,-175.0,0.0
198.0,303.0,-175.0,175.0
296.70825231919537,276.125914573877,-175.0,350.0
381.0,256.0,-175.0,525.0
465.2917476808048,235.87408542612295,-175.0,700.0
93.0,394.0,0.0,-175.0
555.0,242.0,0.0,700.0
186.0,411.0,175.0,-175.0
644.7082523191954,248.12591457387705,175.0,700.0
299.0,437.0,350.0,-175.0
747.9497102838998,264.13966179946704,350.0,700.0
415.6156023314344,472.5974529901682,525.0,-175.0
848.0,275.0,525.0,700.0
541.0,508.0,700.0,-175.0
962.0,300.0,700.0,700.0
666.3843976685657,543.4025470098318,875.0,-175.0
762.1921988342829,489.7012735049159,875.0,0.0
858.0,436.0,875.0,175.0
934.0,391.0,875.0,350.0
1005.0,358.0,875.0,525.0
1076.0,325.0,875.0,700.0
