pointx,pointy,valuex,valuey
984.0,319.0,0.0,0.0
831.0,302.0,175.0,0.0
694.0,293.0,350.0,0.0
569.0,282.0,525.0,0.0
461.0,273.0,700.0,0.0
881.0,388.0,0.0,175.0
722.0,375.0,175.0,175.0
354.0,326.0,700.0,175.0
765.0,469.0,0.0,350.0
601.0,450.0,175.0,350.0
464.0,430.0,350.0,350.0
340.0,406.0,525.0,350.0
233.0,384.0,700.0,350.0
623.0,567.0,0.0,525.0
460.0,526.0,175.0,525.0
328.0,498.0,350.0,525.0
199.0,470.0,525.0,525.0
96.0,450.0,700.0,525.0
460.65134609043685,342.90091647165013,525.0,175.0
582.9939941645891,359.81216969776744,350.0,175.0
