Frame,pointx,pointy,X,Y
91,650,544,6.3101974861186605,480.23427985080207
92,723,530,-34.71778748660308,438.7897051948862
93,797,510,-72.80407831691579,388.89288958087474
94,862,486,-99.76412122154363,333.8607607876009
95,918,460,-118.66803654620216,278.049923638345
96,966,431,-129.06504314051426,218.83527672969603
97,1003,401,-128.22649820592935,155.953755591111
98,1028,376,-121.85381891039451,102.56748721646615
99,1062,349,-121.94179071127347,42.39649727147716
100,1072,344,-125.75847621172215,30.522870835810444
100,1084,341,-134.23829456123613,22.38276417170738
100,1100,338,-146.89171666910264,13.566990003405914
100,1106,338,-153.11485914261954,12.550581611761848
