pointx,pointy,valuex,valuey
194.0,360.0,0.0,0.0
289.0,380.0,175.0,0.0
392.0,406.0,350.0,0.0
506.0,429.0,525.0,0.0
637.0,461.0,700.0,0.0
299.0,325.0,0.0,175.0
392.0,349.0,175.0,175.0
491.0,372.0,350.0,175.0
607.0,393.0,525.0,175.0
730.0,413.0,700.0,175.0
814.0,372.0,700.0,350.0
693.0,355.0,525.0,350.0
386.0,298.0,0.0,350.0
471.0,269.0,0.0,525.0
887.0,338.0,700.0,525.0
771.0,315.0,525.0,525.0
660.0,301.0,350.0,525.0
561.7861304440796,285.45961923964194,175.0,525.0
480.60413455437634,317.63583211455637,175.0,350.0
581.622809717039,337.01789838790603,350.0,350.0
