Frame,pointx,pointy,X,Y
91,617,549,25.341039043459087,498.0848345132052
92,701,533,-20.41596763416589,449.30490306968863
93,790,513,-70.48726771030668,395.30031266476914
94,859,486,-97.03031224650377,334.5911091335265
95,931,453,-122.42617857626898,263.7099696697104
96,971,431,-134.0927736073945,218.0572066985241
97,1000,401,-125.17360728057943,156.4294535674322
98,1029,374,-120.31531284325341,98.40407970762357
99,1062,350,-123.23117044478691,44.43336179410119
100,1082,342,-133.47047031089136,24.758637808382176
101,1130,335,-174.2122345862597,2.3695018867845326
