pointx,pointy,valuex,valuey
976.0,318.0,0.0,0.0
823.0,297.0,175.0,0.0
686.0,286.0,350.0,0.0
458.0,273.0,700.0,0.0
875.0,385.0,0.0,175.0
714.0,364.0,175.0,175.0
349.0,323.0,700.0,175.0
757.0,465.0,0.0,350.0
593.0,437.0,175.0,350.0
457.0,419.0,350.0,350.0
334.0,394.0,525.0,350.0
227.0,383.0,700.0,350.0
616.0,568.0,0.0,525.0
452.0,521.0,175.0,525.0
319.0,486.0,350.0,525.0
195.0,464.0,525.0,525.0
96.0,451.0,700.0,525.0
567.6240175393668,278.3113108376324,525.0,0.0
455.8072124641138,333.3550220950177,525.0,175.0
576.2617461742653,347.67298816659417,350.0,175.0
