Frame,pointx,pointy,X,Y
75,920,508,-171.63586102502185,352.7439743801442
75,893,512,-151.8150419235741,365.1474332015473
76,785,524,-70.51650062112572,407.5311472975386
77,704,536,-18.700236877662174,447.5507623312126
78,634,538,34.035267483003516,469.6494431847793
79,594,541,60.42519286652331,487.3301980714717
80,515,541,115.73062133966894,517.227983215022
81,454,543,157.65814205276024,545.0953261257858
82,399,544,202.27922631368818,567.9208840337577
83,338,549,250.08694928250915,599.7280067620136
84,241,534,368.18643584594065,614.9406815593903
86,192,507,459.65957498355544,588.8156060675485
88,186,495,491.1141381162686,568.6732187550729
88,179,473,549.6456591523757,528.6196354859727
89,178,450,609.6649379388621,482.02436792614964
90,184,430,658.4057976863287,437.3808304376686
