pointx,pointy,valuex,valuey
980.0,322.0,0.0,0.0
879.0,403.0,0.0,175.0
765.0,483.0,0.0,350.0
622.0,569.0,0.0,525.0
824.0,309.0,175.0,0.0
722.0,387.0,175.0,175.0
604.0,460.0,175.0,350.0
459.0,531.0,175.0,525.0
693.0,298.0,350.0,0.0
464.0,441.0,350.0,350.0
324.0,502.0,350.0,525.0
567.0,286.0,525.0,0.0
338.0,415.0,525.0,350.0
200.0,473.0,525.0,525.0
448.0,275.0,700.0,0.0
352.0,337.0,700.0,175.0
232.0,396.0,700.0,350.0
96.0,451.0,700.0,525.0
1236.0,251.0,-175.0,-175.0
1136.0,335.0,-175.0,0.0
1036.0,419.0,-175.0,175.0
926.0,506.0,-175.0,350.0
785.0,607.0,-175.0,525.0
644.0,708.0,-175.0,700.0
1081.0,241.0,0.0,-175.0
479.0,655.0,0.0,700.0
926.0,231.0,175.0,-175.0
314.0,602.0,175.0,700.0
807.5,226.5,350.0,-175.0
578.5,369.5,350.0,175.0
184.0,563.0,350.0,700.0
681.5,221.5,525.0,-175.0
452.5,350.5,525.0,175.0
62.0,531.0,525.0,700.0
544.0,213.0,700.0,-175.0
-40.0,506.0,700.0,700.0
406.5,204.5,875.0,-175.0
329.0,264.0,875.0,0.0
251.5,323.5,875.0,175.0
126.0,377.0,875.0,350.0
-8.0,429.0,875.0,525.0
-142.0,481.0,875.0,700.0
