Frame,pointx,pointy,X,Y
110,828,454,859.3306618040828,136.82288948098213
111,797,453,828.1293978144388,122.33842824845169
112,704,455,740.8163143284478,63.179614758414644
113,653,459,705.3129169119425,18.40230885671266
114,579,460,642.2788076007712,-31.707033137735245
116,487,454,551.1762143480898,-75.68861594777778
120,376,445,437.1068453091145,-127.38420567862211
120,308,418,305.2956792615409,-97.71985879661773
121,285,410,261.18995110472457,-93.15493927203129
124,242,380,119.68211387802114,-30.392913191581314
