pointx,pointy,valuex,valuey
984.0,322.0,0.0,0.0
832.0,309.0,175.0,0.0
695.0,299.0,350.0,0.0
571.0,287.0,525.0,0.0
883.0,406.0,0.0,175.0
725.0,389.0,175.0,175.0
357.0,339.0,700.0,175.0
768.0,483.0,0.0,350.0
604.0,462.0,175.0,350.0
465.0,442.0,350.0,350.0
344.0,417.0,525.0,350.0
235.0,395.0,700.0,350.0
625.0,568.0,0.0,525.0
461.0,531.0,175.0,525.0
329.0,504.0,350.0,525.0
202.0,475.0,525.0,525.0
98.0,453.0,700.0,525.0
457.0,278.0,700.0,0.0
464.5373625856339,354.23446606365155,525.0,175.0
585.9874989474405,372.2149140678495,350.0,175.0
1231.0,247.0,-175.0,-175.0
1136.0,335.0,-175.0,0.0
1041.0,423.0,-175.0,175.0
932.0,504.0,-175.0,350.0
789.0,605.0,-175.0,525.0
646.0,706.0,-175.0,700.0
1085.0,238.0,0.0,-175.0
482.0,653.0,0.0,700.0
939.0,229.0,175.0,-175.0
318.0,600.0,175.0,700.0
804.0125010525595,225.78508593215048,350.0,-175.0
193.0,566.0,350.0,700.0
677.4626374143661,219.76553393634845,525.0,-175.0
60.0,533.0,525.0,700.0
557.0,217.0,700.0,-175.0
-39.0,511.0,700.0,700.0
436.5373625856339,214.23446606365155,875.0,-175.0
343.0,269.0,875.0,0.0
249.4626374143661,323.76553393634845,875.0,175.0
126.0,373.0,875.0,350.0
-6.0,431.0,875.0,525.0
-138.0,489.0,875.0,700.0
