pointx,pointy,valuex,valuey
193.0,360.0,0.0,0.0
288.0,376.0,175.0,0.0
392.0,399.0,350.0,0.0
507.0,426.0,525.0,0.0
636.0,462.0,700.0,0.0
297.0,324.0,0.0,175.0
390.0,343.0,175.0,175.0
493.0,366.0,350.0,175.0
607.0,384.0,525.0,175.0
732.0,412.0,700.0,175.0
388.0,295.0,0.0,350.0
692.0,347.0,525.0,350.0
816.0,370.0,700.0,350.0
472.0,270.0,0.0,525.0
659.0,293.0,350.0,525.0
771.0,312.0,525.0,525.0
887.0,338.0,700.0,525.0
561.4016140888621,279.8453037165799,175.0,525.0
479.7432953313455,311.5358769804405,175.0,350.0
580.5191883938636,328.9095018547373,350.0,350.0
