Frame,pointx,pointy,X,Y
86,842,511,-105.98522398200289,377.5445511971346
87,759,524,-49.511690846752444,416.8127656505029
88,696,532,-8.366827375085975,445.97745350206065
89,622,543,35.051721051779296,484.00431096187583
90,551,545,84.2026374264641,511.61762294085713
91,483,554,118.97587012467551,551.9623852677292
92,406,548,186.06873437702927,573.6034528026423
94,292,535,308.5009068101851,598.1474339394467
95,232,528,376.7703206103175,611.2352455543349
96,201,514,431.11923478854607,600.6868991383863
98,162,489,528.4880310170633,570.9280455439111
