pointx,pointy,valuex,valuey
196.0,364.0,0.0,0.0
290.0,386.0,175.0,0.0
393.0,411.0,350.0,0.0
637.0,466.0,700.0,0.0
299.0,340.0,0.0,175.0
394.0,362.0,175.0,175.0
490.0,386.0,350.0,175.0
607.0,407.0,525.0,175.0
732.0,430.0,700.0,175.0
814.0,384.0,700.0,350.0
693.0,366.0,525.0,350.0
888.0,341.0,700.0,525.0
771.0,319.0,525.0,525.0
563.0,287.0,175.0,525.0
471.0,272.0,0.0,525.0
659.0,305.0,350.0,525.0
388.3797849230701,307.9667074706806,0.0,350.0
510.3978516131664,438.0858218324728,525.0,0.0
481.9932210425128,327.15389581855044,175.0,350.0
581.8403883824591,347.0315718003605,350.0,350.0
0.0,366.0,-175.0,-175.0
102.0,342.0,-175.0,0.0
204.0,318.0,-175.0,175.0
294.76634880362735,288.77951912281077,-175.0,350.0
379.0,257.0,-175.0,525.0
463.23365119637265,225.22048087718917,-175.0,700.0
93.0,388.0,0.0,-175.0
553.62021507693,236.0332925293194,0.0,700.0
186.0,410.0,175.0,-175.0
644.0067789574872,246.84610418144956,175.0,700.0
296.0,436.0,350.0,-175.0
736.1596116175409,262.9684281996395,350.0,700.0
413.79570322633276,469.1716436649456,525.0,-175.0
849.0,272.0,525.0,700.0
542.0,502.0,700.0,-175.0
962.0,298.0,700.0,700.0
670.204296773667,534.8283563350544,875.0,-175.0
763.6021483868336,493.9141781675272,875.0,0.0
857.0,453.0,875.0,175.0
935.0,402.0,875.0,350.0
1005.0,363.0,875.0,525.0
1075.0,324.0,875.0,700.0
