pointx,pointy,valuex,valuey
977.0,321.0,0.0,0.0
879.0,404.0,0.0,175.0
764.0,484.0,0.0,350.0
621.0,568.0,0.0,525.0
823.0,308.0,175.0,0.0
724.0,385.0,175.0,175.0
601.0,461.0,175.0,350.0
456.0,531.0,175.0,525.0
689.0,298.0,350.0,0.0
460.0,440.0,350.0,350.0
326.0,500.0,350.0,525.0
568.0,286.0,525.0,0.0
340.0,416.0,525.0,350.0
201.0,474.0,525.0,525.0
456.0,277.0,700.0,0.0
351.0,338.0,700.0,175.0
232.0,396.0,700.0,350.0
97.0,451.0,700.0,525.0
459.5144299243354,352.1771515127402,525.0,175.0
583.2173730264817,368.3685953824597,350.0,175.0
1228.0,245.0,-175.0,-175.0
1131.0,334.0,-175.0,0.0
1034.0,423.0,-175.0,175.0
927.0,507.0,-175.0,350.0
786.0,605.0,-175.0,525.0
645.0,703.0,-175.0,700.0
1075.0,238.0,0.0,-175.0
478.0,652.0,0.0,700.0
922.0,231.0,175.0,-175.0
311.0,601.0,175.0,700.0
794.7826269735183,227.63140461754028,350.0,-175.0
192.0,560.0,350.0,700.0
676.4855700756646,219.82284848725982,525.0,-175.0
62.0,532.0,525.0,700.0
561.0,216.0,700.0,-175.0
-38.0,506.0,700.0,700.0
445.51442992433545,212.17715151274024,875.0,-175.0
344.0,268.0,875.0,0.0
242.4855700756646,323.8228484872598,875.0,175.0
124.0,376.0,875.0,350.0
-7.0,428.0,875.0,525.0
-138.0,480.0,875.0,700.0
