pointx,pointy,valuex,valuey
192.0,359.0,0.0,0.0
287.0,378.0,175.0,0.0
391.0,402.0,350.0,0.0
507.0,425.0,525.0,0.0
634.0,460.0,700.0,0.0
292.0,325.0,0.0,175.0
390.0,346.0,175.0,175.0
489.0,369.0,350.0,175.0
606.0,388.0,525.0,175.0
729.0,410.0,700.0,175.0
385.0,295.0,0.0,350.0
691.0,350.0,525.0,350.0
811.0,369.0,700.0,350.0
470.0,269.0,0.0,525.0
656.0,297.0,350.0,525.0
771.0,312.0,525.0,525.0
887.0,336.0,700.0,525.0
558.0214897906546,282.8046352756096,175.0,525.0
478.27664798515764,314.44583018601907,175.0,350.0
579.4834271019179,332.7381768080952,350.0,350.0
0.0,376.0,-175.0,-175.0
97.0,340.0,-175.0,0.0
194.0,304.0,-175.0,175.0
291.72335201484236,275.55416981398093,-175.0,350.0
381.97851020934536,255.1953647243904,-175.0,525.0
472.23366840384824,234.83655963479987,-175.0,700.0
92.0,393.0,0.0,-175.0
555.0,243.0,0.0,700.0
184.0,410.0,175.0,-175.0
637.7663315961516,251.16344036520013,175.0,700.0
293.0,435.0,350.0,-175.0
732.5165728980821,261.2618231919048,350.0,700.0
408.0,462.0,525.0,-175.0
851.0,274.0,525.0,700.0
539.0,510.0,700.0,-175.0
963.0,303.0,700.0,700.0
670.0,558.0,875.0,-175.0
761.0,495.0,875.0,0.0
852.0,432.0,875.0,175.0
931.0,388.0,875.0,350.0
1003.0,360.0,875.0,525.0
1075.0,332.0,875.0,700.0
