Frame,pointx,pointy,X,Y
72,923,394,-51.27987963704066,174.42804115920552
72,904,409,-53.086910910387786,208.21667790921555
73,866,429,-43.5890521732008,253.78457052258693
74,831,446,-34.106851273012275,292.85850517646037
75,776,469,-14.932645299766214,344.82307775329576
76,681,497,31.878364166004886,409.0589216175693
77,604,518,68.77586714213622,460.6964086929315
78,550,529,96.51413996584185,494.32518102157667
79,500,539,120.00509963339537,527.3168127240713
80,419,550,167.94041938912693,574.6894563767652
81,355,558,211.5842904746561,610.8750191689297
82,261,556,295.93466560534836,649.6188378947159
83,223,542,356.2015941222502,642.3796869539025
84,182,521,434.1595720220331,623.1885260112279
86,158,499,508.81807085613576,592.1098465146791
87,156,478,557.4717337732627,554.0630559254599
88,162,458,595.4304373806328,514.907519840967
89,186,422,652.5072303877638,438.62111254997603
91,220,390,696.0811687298791,363.4404471008888
