pointx,pointy,valuex,valuey
278.0,358.0,0.0,0.0
438.0,462.0,250.0,0.0
708.0,381.0,250.0,250.0
925.0,300.0,250.0,500.0
1153.0,386.0,500.0,500.0
931.0,488.0,500.0,250.0
148.0,263.0,-250.0,0.0
48.0,200.0,-500.0,0.0
385.0,216.0,-250.0,250.0
270.0,145.0,-500.0,250.0
505.0,325.0,0.0,250.0
-259.0,200.0,-750.0,-250.0
-52.0,137.0,-750.0,0.0
155.0,74.0,-750.0,250.0
-174.0,255.0,-500.0,-250.0
-89.0,310.0,-250.0,-250.0
51.0,391.0,0.0,-250.0
168.0,543.0,250.0,-250.0
1375.0,284.0,500.0,750.0
1381.0,472.0,750.0,500.0
1608.0,349.0,750.0,750.0
740.0,225.0,0.0,500.0
