Frame,pointx,pointy,X,Y
36,1101,397,484.8503878428081,456.22309287000195
37,1078,419,497.95204444293057,415.3699342334678
38,1036,433,490.7658283681713,375.4742172696511
39,973,447,473.4101823672629,323.42822900943673
40,942,456,468.3625330706131,294.1684742709886
41,903,460,456.26944004581134,263.20478539088055
42,782,469,412.54898517957525,184.5874366098155
43,724,476,396.87767987743996,142.93699746110585
44,656,482,376.7792004611587,94.87722157365013
45,614,489,367.8233749281738,60.32463018648515
48,437,470,269.8282460571226,-17.35115184933599
50,327,459,201.86363327349014,-73.35561195640297
