pointx,pointy,valuex,valuey
790.0,105.0,0.0,0.0
1039.0,108.0,-250.0,0.0
954.0,232.0,-250.0,250.0
848.0,372.0,-250.0,500.0
1268.0,244.0,-500.0,250.0
1205.0,403.0,-500.0,500.0
284.0,308.0,250.0,500.0
441.0,193.0,250.0,250.0
65.0,276.0,500.0,500.0
232.0,170.0,500.0,250.0
568.0,87.0,250.0,0.0
370.0,92.0,500.0,0.0
1562.0,434.0,-750.0,500.0
1542.0,612.0,-750.0,750.0
1142.0,562.0,-500.0,750.0
742.0,512.0,-250.0,750.0
882.5,-2.5,0.0,-250.0
697.5,212.5,0.0,250.0
566.0,340.0,0.0,500.0
434.5,467.5,0.0,750.0
695.0,-19.0,250.0,-250.0
127.0,423.0,250.0,750.0
508.0,14.0,500.0,-250.0
-102.0,382.0,500.0,750.0
321.0,47.0,750.0,-250.0
172.0,97.0,750.0,0.0
23.0,147.0,750.0,250.0
-154.0,244.0,750.0,500.0
-331.0,341.0,750.0,750.0
