pointx,pointy,valuex,valuey
789.0,104.0,0.0,0.0
1038.0,108.0,-250.0,0.0
951.0,234.0,-250.0,250.0
847.0,374.0,-250.0,500.0
1266.0,245.0,-500.0,250.0
1202.0,402.0,-500.0,500.0
282.0,312.0,250.0,500.0
437.0,197.0,250.0,250.0
230.0,171.0,500.0,250.0
61.0,278.0,500.0,500.0
367.0,91.0,500.0,0.0
565.0,90.0,250.0,0.0
1557.0,430.0,-750.0,500.0
1533.0,604.0,-750.0,750.0
1138.0,559.0,-500.0,750.0
743.0,514.0,-250.0,750.0
884.0,-7.5,0.0,-250.0
694.0,215.5,0.0,250.0
564.5,343.0,0.0,500.0
435.0,470.5,0.0,750.0
693.0,-17.0,250.0,-250.0
127.0,427.0,250.0,750.0
504.0,11.0,500.0,-250.0
-108.0,385.0,500.0,750.0
315.0,39.0,750.0,-250.0
169.0,92.0,750.0,0.0
23.0,145.0,750.0,250.0
-160.0,244.0,750.0,500.0
-343.0,343.0,750.0,750.0
