pointx,pointy,valuex,valuey
789.0,108.0,0.0,0.0
1037.0,111.0,-250.0,0.0
952.0,237.0,-250.0,250.0
847.0,375.0,-250.0,500.0
1202.0,402.0,-500.0,500.0
1267.0,246.0,-500.0,250.0
437.0,198.0,250.0,250.0
230.0,172.0,500.0,250.0
281.0,313.0,250.0,500.0
62.0,278.0,500.0,500.0
370.0,91.0,500.0,0.0
1557.0,429.0,-750.0,500.0
1532.0,603.0,-750.0,750.0
1137.0,558.0,-500.0,750.0
742.0,513.0,-250.0,750.0
883.5,-1.5,0.0,-250.0
694.5,217.5,0.0,250.0
564.0,344.0,0.0,500.0
433.5,470.5,0.0,750.0
722.0,1.0,250.0,-250.0
579.5,99.5,250.0,0.0
125.0,428.0,250.0,750.0
510.0,10.0,500.0,-250.0
-106.0,384.0,500.0,750.0
298.0,19.0,750.0,-250.0
160.5,82.5,750.0,0.0
23.0,146.0,750.0,250.0
-157.0,243.0,750.0,500.0
-337.0,340.0,750.0,750.0
