pointx,pointy,valuex,valuey
277.0,356.0,0.0,0.0
439.0,461.0,250.0,0.0
707.0,384.0,250.0,250.0
932.0,487.0,500.0,250.0
1149.0,385.0,500.0,500.0
921.0,297.0,250.0,500.0
385.0,217.0,-250.0,250.0
149.0,263.0,-250.0,0.0
50.0,199.0,-500.0,0.0
266.0,148.0,-500.0,250.0
-245.0,191.0,-750.0,-250.0
-49.0,135.0,-750.0,0.0
147.0,79.0,-750.0,250.0
-166.0,250.0,-500.0,-250.0
-87.0,309.0,-250.0,-250.0
8.0,411.5,0.0,-250.0
171.0,538.0,250.0,-250.0
1366.0,283.0,500.0,750.0
1377.0,473.0,750.0,500.0
1597.0,356.0,750.0,750.0
504.0,325.0,0.0,250.0
763.4292592963603,220.40415500604774,0.0,500.0
