Frame,pointx,pointy,X,Y
20,658,246,1.2936178950305446,328.1890655678726
21,761,256,-94.85343218278247,324.4256795560796
22,807,267,-144.78197552734127,336.2198013470432
23,848,277,-189.63093919623685,348.57420505461033
24,895,290,-240.1932305225578,366.9778521234973
25,933,299,-276.6649409027133,379.90585326408444
26,983,313,-321.62276787415817,398.5250923117867
27,1030,324,-360.0439247303496,411.20898328104295
28,1084,336,-402.02344187239834,423.45829236714314
29,1103,339,-416.0336536177071,425.54443814731644
