Frame,pointx,pointy,X,Y
22,662,474,367.76033118710876,110.59567671024186
26,419,457,241.82814429462388,-13.42801343420006
39,295,436,153.60444055938888,-73.52692182670232
39,232,416,94.7995193592615,-98.93366012525932
39,182,404,55.17610285643255,-122.611303045351
39,143,370,-24.080912193122863,-116.8291240141017
39,124,342,-88.21469704918454,-102.30162246559563
39,122,297,-185.14199346395463,-57.82196512662441
39,163,237,-302.7239527072773,41.3666461170177
40,182,220,-335.80507266711334,77.77480593039105
41,202,204,-367.64367015010197,114.68852834007882
