pointx,pointy,valuex,valuey
789.0,104.0,0.0,0.0
1040.0,105.0,-250.0,0.0
953.0,227.0,-250.0,250.0
1269.0,240.0,-500.0,250.0
1206.0,399.0,-500.0,500.0
849.0,369.0,-250.0,500.0
564.0,85.0,250.0,0.0
284.0,306.0,250.0,500.0
438.0,190.0,250.0,250.0
373.0,90.0,500.0,0.0
236.0,170.0,500.0,250.0
1563.0,429.0,-750.0,500.0
1541.0,605.0,-750.0,750.0
1143.0,558.0,-500.0,750.0
745.0,511.0,-250.0,750.0
882.5,-0.5,0.0,-250.0
695.5,208.5,0.0,250.0
566.5,337.5,0.0,500.0
437.5,466.5,0.0,750.0
690.0,-20.0,250.0,-250.0
130.0,422.0,250.0,750.0
510.0,10.0,500.0,-250.0
330.0,40.0,750.0,-250.0
182.0,95.0,750.0,0.0
34.0,150.0,750.0,250.0
