pointx,pointy,valuex,valuey
278.0,358.0,0.0,0.0
149.0,265.0,-250.0,0.0
51.0,201.0,-500.0,0.0
714.0,383.0,250.0,250.0
929.0,303.0,250.0,500.0
1160.0,387.0,500.0,500.0
940.0,490.0,500.0,250.0
266.0,146.0,-500.0,250.0
388.0,217.0,-250.0,250.0
-238.0,199.0,-750.0,-250.0
-47.0,137.0,-750.0,0.0
144.0,75.0,-750.0,250.0
-164.0,256.0,-500.0,-250.0
-90.0,313.0,-250.0,-250.0
5.0,416.0,0.0,-250.0
551.0,300.0,0.0,250.0
1380.0,284.0,500.0,750.0
1391.0,471.0,750.0,500.0
1616.0,345.0,750.0,750.0
441.0,464.0,250.0,0.0
764.3178944151589,226.78720445775406,0.0,500.0
