pointx,pointy,valuex,valuey
278.0,355.0,0.0,0.0
440.0,459.0,250.0,0.0
710.0,374.0,250.0,250.0
935.0,484.0,500.0,250.0
1156.0,382.0,500.0,500.0
926.0,296.0,250.0,500.0
387.0,208.0,-250.0,250.0
48.0,201.0,-500.0,0.0
151.0,260.0,-250.0,0.0
267.0,142.0,-500.0,250.0
-257.0,208.0,-750.0,-250.0
-55.0,142.0,-750.0,0.0
147.0,76.0,-750.0,250.0
-171.0,260.0,-500.0,-250.0
-85.0,312.0,-250.0,-250.0
7.5,419.0,0.0,-250.0
170.0,544.0,250.0,-250.0
1377.0,280.0,500.0,750.0
1386.0,468.0,750.0,500.0
1612.0,342.0,750.0,750.0
764.5476248923391,218.75703679942487,0.0,500.0
506.0,324.0,0.0,250.0
