pointx,pointy,valuex,valuey
791.0,104.0,0.0,0.0
1039.0,106.0,-250.0,0.0
955.0,227.0,-250.0,250.0
855.0,370.0,-250.0,500.0
1210.0,401.0,-500.0,500.0
1269.0,241.0,-500.0,250.0
443.0,191.0,250.0,250.0
289.0,308.0,250.0,500.0
61.0,278.0,500.0,500.0
568.0,87.0,250.0,0.0
376.0,90.0,500.0,0.0
236.0,169.0,500.0,250.0
1565.0,432.0,-750.0,500.0
1547.0,609.0,-750.0,750.0
1151.0,561.0,-500.0,750.0
755.0,513.0,-250.0,750.0
883.0,-1.0,0.0,-250.0
699.0,209.0,0.0,250.0
572.0,339.0,0.0,500.0
445.0,469.0,0.0,750.0
693.0,-17.0,250.0,-250.0
135.0,425.0,250.0,750.0
516.0,11.0,500.0,-250.0
-114.0,387.0,500.0,750.0
339.0,39.0,750.0,-250.0
184.0,93.0,750.0,0.0
29.0,147.0,750.0,250.0
-167.0,248.0,750.0,500.0
-363.0,349.0,750.0,750.0
