pointx,pointy,valuex,valuey
794.0,105.0,0.0,0.0
1043.0,109.0,-250.0,0.0
957.0,235.0,-250.0,250.0
1273.0,247.0,-500.0,250.0
1209.0,406.0,-500.0,500.0
853.0,372.0,-250.0,500.0
443.0,196.0,250.0,250.0
286.0,308.0,250.0,500.0
233.0,172.0,500.0,250.0
60.0,277.0,500.0,500.0
375.0,92.0,500.0,0.0
1565.0,440.0,-750.0,500.0
1541.0,621.0,-750.0,750.0
1145.0,565.0,-500.0,750.0
749.0,509.0,-250.0,750.0
888.0,-5.5,0.0,-250.0
700.0,215.5,0.0,250.0
569.5,340.0,0.0,500.0
439.0,464.5,0.0,750.0
726.0,1.0,250.0,-250.0
584.5,98.5,250.0,0.0
129.0,420.0,250.0,750.0
517.0,12.0,500.0,-250.0
-113.0,382.0,500.0,750.0
308.0,23.0,750.0,-250.0
165.5,85.5,750.0,0.0
23.0,148.0,750.0,250.0
-166.0,246.0,750.0,500.0
-355.0,344.0,750.0,750.0
