Frame,pointx,pointy,X,Y
16,585,290,39.062431877510726,402.73688801906314
16,627,307,-10.74575992561758,429.2086678424499
17,664,321,-54.43625036650792,448.0962330391167
18,698,338,-97.55160461381277,471.6523271756197
19,725,351,-130.03368382444967,489.1162533465964
20,752,369,-164.78340715769409,515.1092372181317
21,785,392,-205.55398981254507,547.5000008581421
22,803,407,-228.28682286850807,568.9403985221488
23,847,427,-271.7615520140259,593.3291560668271
24,879,439,-299.4610344826436,606.7305666742178
