Frame,pointx,pointy,X,Y
1792,1183,295,-444.52543559273545,329.16304524290945
1793,1161,314,-435.38915390221194,362.01096925639024
1793,1148,323,-429.37527587066603,378.0337767903311
1794,1111,339,-408.80834954663607,408.54769890072487
1795,1054,357,-376.9070667074191,444.5166016366054
1796,944,376,-312.37086558766885,490.51120960422946
1797,890,386,-280.2413765166894,516.1581686620742
1798,817,401,-235.25583574327527,555.759701497598
1799,759,414,-199.2791543499891,590.9167301320736
1800,701,421,-159.6805897501281,616.9217642406122
1801,643,429,-121.69929916207465,644.149497414682
1803,486,429,-3.2831495519095646,680.160704883269
1806,372,432,72.52617364303472,713.3082120519254
1806,332,426,104.43642784735403,712.8945435880714
1807,302,405,141.9220492582183,681.8853045639522
1808,274,384,180.05669201342005,650.1279178039883
1809,244,365,221.78231731249684,622.3448317129024
1810,227,354,248.2562195399737,605.9123206888482
1811,204,331,300.0892239835084,567.6711575912786
1812,193,314,336.1034628048588,537.639497097915
1813,188,302,358.4501201296952,515.7580111068952
