pointx,pointy,valuex,valuey
277.0,356.0,0.0,0.0
439.0,457.0,250.0,0.0
709.0,380.0,250.0,250.0
936.0,487.0,500.0,250.0
1154.0,383.0,500.0,500.0
924.0,296.0,250.0,500.0
386.0,214.0,-250.0,250.0
148.0,262.0,-250.0,0.0
48.0,199.0,-500.0,0.0
268.0,142.0,-500.0,250.0
-254.0,202.0,-750.0,-250.0
-52.0,136.0,-750.0,0.0
150.0,70.0,-750.0,250.0
-172.0,256.0,-500.0,-250.0
-90.0,310.0,-250.0,-250.0
6.5,415.0,0.0,-250.0
547.5,297.0,0.0,250.0
169.0,534.0,250.0,-250.0
1372.0,279.0,500.0,750.0
1384.0,470.0,750.0,500.0
1605.0,346.0,750.0,750.0
